,this_section_number,film_title,film_director,film_year,film_running_time,text_section,choose_section,option_text_1,option_text_2,option_text_3,section_number_1,section_number_2,section_number_3,wiki_link,imdb_link,tvtropes_link
71,72,We Are All Going to the World's Fair,Jane Schoenbrun,2021,86,"[""TITLE: We Are All Going to the World's Fair"", ""TEXT PLACEHOLDER 072"", ""<P>"", ""Going into this film, you know some of the basics. Or at least you think you do. You assume it's a found-footage vibe film with an internet bent, sort of like <I>The Ring</I> mixed with the old Blood Mary urban legend campfire tale. Participants do a little ritual and then watch a spooky internet video and then wait and share their experiences. You're going to be watching a teenage girl do the little spiel on her webcam and then be creeped out as increasingly weird things happen to her that are possibly supernatural but end up having some mundane explanation. <I>Or do they???</I> But of course it's going to be at least artsy enough and well-done enough and perhaps even somewhat subtle to have a good reputation outside the usual slasher gore horror fandom."", ""<P>"", ""What you get, in fact, is very different. It's more like a sadder, spookier version of <I>Ghost World</I> with a realistic downer ending along with some unanswered questions and very unreliable narration. You can imagine a lot of naive horror fans walking away from this one either unsatisfied or unsettled by something hitting a bit too close to home for their comfort, from one end or the other. Even if it doesn't, this one is likely to get under your skin if you've ever had any sort of lopsided parasocial relationships with anyone online when one or both of you have questionable mental health. This could be an entire cringe-internet-horror genre of its own."", ""<P>"", ""High-empathy types are likely to find this film <I>devastating</I>. Good luck recovering after this if you're one of those. It will live under your skin for a good while.""]",Time to choose something different:,I bet some kinky boots would have gotten that girl some more social media followers...,...as long as she didn't go and say something stupid and anti-semitic!,"I love the suspense combined with an anti-climax. Could I get something suspenseful and a little more traditional Hitchcockian, please?",74,167,201,https://en.wikipedia.org/wiki/We%27re_All_Going_to_the_World%27s_Fair,https://www.imdb.com/title/tt13648224/,https://tvtropes.org/pmwiki/pmwiki.php/Film/WereAllGoingToTheWorldsFair
72,73,The Babadook,Jennifer Kent,2014,94,"[""TITLE: The Babadook"", ""TEXT PLACEHOLDER 073"", ""<P>"", ""This is another horror movie with a bit of a misplaced fandom. It's about a spooky supernatural children's book that has menacing properties. <I>Or is it???</I> Nah, it's actually about the stress of parenting a kid who is spooky and weird and inappropriate, but this weirdness could <I>maybe</I> be explained away through some pretty autism spectrum type behavior (or just plain oddness). His mother seems to go with this at first, but things certainly get worse when the book is in the picture."", ""<P>"", ""The film stars Essie Davis, who was also known as the title character in <I>Miss Fisher's Murder Mysteries</I>, an Australian show about a flapper's adventures in the Southern Hemisphere that you will later end up unknowingly binging at some later point, the circumstances of which will not be addressed here. You will eat a cheesesteak while you watch that series."", ""<P>"", ""There are numerous paint-by-numbers scary children's doll or haunted toy child-adjacent horror films this is inspired by. And even as one of those it's pretty decent for the genre. This one seems to aspire to some twists and ambiguities that are not well-served by being told in film form. It wants to be \""The Turn of the Screw\"" while being somewhat forced into showing you the ghosts, and you end up not forced to decide if things happened as depicted but whether what you were shown was allegorical."", ""<P>"", ""For all its flaws, this is still a good and thoughtful film. You decide to go back and re-read \""The Turn of the Screw\"" after watching this. ""]",Time to choose something different:,"I read that Babadook book too, but he never pestered me. Maybe he got stuck in traffic...",Some buddhists believe that everyone is reincarnated as a Babadook eventually!,"Single parenting looks rough, so it's probably good to have a spare dude around in case things go bad with the first one!",206,87,149,https://en.wikipedia.org/wiki/The_Babadook,https://www.imdb.com/title/tt2321549/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBabadook
73,74,Kinky Boots,Julian Jarrold,2005,107,"[""TITLE: Kinky Boots"", ""TEXT PLACEHOLDER 074"", ""<P>"", ""This is an awkward film (and later a musical) made for an audience that is drag-curious but homophobic. There is enough ambiguity so that it's likely or at least possible that the drag-person who will be wearing the boots is not actually full-on gay or trans. They are compelled by their nature to cross-dress for <I>some</I> reason, a harmless non-sexual quirk that doesn't threaten anyone's identity. If that's what it took to get the movie made, so be it. You're free to make adjustments in your own head to the true nature of the characters. Watch this one for enjoyment, not to decide if the writers deserve some kind of medal for thinking the right way or not being <I>quite</I> as homophobic as everyone else was in the past."", ""<P>"", ""You were a bit of a drag culture early adopter, at least as a straight fan--back in the days when it veered more into the grotesque and often extremely \""politically incorrect\"". You were a bit amazed in particular when feminist straight women started becoming interested. At the time you politely suggested that they may wish to brace themselves for some misogyny and other rough around the edges humor that pervaded in all-male environments, even in gay ones. A lot of women would forget that gay men are still men and not some sort of neutered \""honorary women\""."", ""<P>"", ""Most of the drag shows you had been to at that point had some pretty raunchy humor that would be otherwise frowned-upon, to say the least. Most of the drag shows you went to at least would feature crude jokes about vaginas in general being disgusting and smelling like fish and having an unpleasant appearance and other topics of discussion that progressive women wouldn't tolerate from straight men. For most of the drag you'd been exposed to, the c-word flowed pretty freely as well, which you certainly knew was a no-go for most women you knew."", ""<P>"", ""One thing this film got right about the early days: a lot of the early drag queens you knew, at least, were the <I>last</I> people you wanted to fuck with. They tended to be rather large and at the very least extremely tough and scrappy back in those days. You weren't close friends with any of these early queens, but several of them were friends of friends, and you definitely got quite an education in talking to them and being around them whenever you would visit their spaces."", ""<P>"", ""Eventually a lot of the rough edges got sanded off (for better or for worse) and a wider audience became appreciative of \""female impersonation\"". The language got sanitized and the artform became more inclusive without losing all of its soul. You're still a fan of drag in its current elevated form, and its a bit horrifying to find it even mainstream enough to be a part of the current cultural wars."", ""<P>"", ""All in all, it's easy to criticize this film but it's hard to hate it. This film is a bit milquetoast, but a lot of films like this ended up being a gateway to tolerance for your otherwise religious or conservative relatives. Even your rather roughneck Army veteran drill sergeant uncle ended up being a huge fan of <I>Priscilla, Queen of the Desert</I>, which dealt even more squarely with gay and trans issues, and to your amazement he prided himself on his tolerance and fandom of this movie, defending it vigorously. Anyone who dared to tease him for liking it was declared to be \""ignorant\"", one of the most contemptuous things he would say about people.""]",Time to choose something different:,The right footwear can attract a young woman a better class of suitor...,You know what pairs well with red boots? A red beret!,"If that shoe factory does well enough, they should expand operations...to the moon!",216,186,38,https://en.wikipedia.org/wiki/Kinky_Boots_(film),https://www.imdb.com/title/tt0434124/,https://tvtropes.org/pmwiki/pmwiki.php/Film/KinkyBoots
74,75,Titane,Julia Ducournau,2021,108,"[""TITLE: Titane"", ""TEXT PLACEHOLDER 075"", ""<P>"", ""Finally, a film where someone actually fucks a car!"", ""<P>"", ""Spoiler. Not only does she fuck a car, but she becomes impregnated by the car. Then she goes on a bit of an ill-advised fucking-and-killing spree that spirals out of control."", ""<P>"", ""Then she shaves her head and tries to pass as a man. But not just any man. She tries to pass as the long lost son of a firefighter and becomes a firefighter herself, having to hide her female body and her burgeoning pregnancy from her father and the other firefighters."", ""<P>"", ""Then she has the kid. Guess how that goes."", ""<P>"", ""Don't worry, this has a female director. It's going to remind you of <I>Tetsuo</I>."", ""<P>"", ""There are two types of women in this world. There are women who would want to fuck to this film and there are women who would <I>maybe</I> tolerate it but would absolutely not have any interest in fucking after watching this movie. When this was in the theater, you were wise enough to realize you were dating the second type of woman. You went to see something that wasn't this with her instead, though you did take her to <I>The Exorcist</I> when it was at the revival theater."", ""<P>"", ""Now you're going to watch this film alone in your apartment and go to bed without dessert."", ""<P>"", ""Keep it in your back pocket though for future reference. Someone may appreciate it someday."", ""<P>""]",Time to choose something different:,Everyone needs a good father figure...and you can do worse than a firefighter!,Even carfuckers shouldn’t be sent off to Iraq!,I heard there was a lot of gender-bending in ancient Greek theater.,46,63,64,https://en.wikipedia.org/wiki/Titane,https://www.imdb.com/title/tt10944760/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Titane
75,76,Crimes of the Future,David Cronenberg,2022,107,"[""TITLE: Crimes of the Future"", ""TEXT PLACEHOLDER 076"", ""<P>"", ""This is a David Cronenberg movie about cool chairs that help you digest food. There's some sort of plot involving mutant performance artists growing surplus human organs for surgical extraction in front of crowds of cued-in hipster art enthusiasts while dodging police intervention and being able to digest microplastics or something. But mainly cool chairs."", ""<P>"", ""You used to have a cool chair when you were in grad school. You scored a hemodialysis chair from someplace that had surplus. It was extremely heavy and it was the best computer chair ever. You laid a plank over the arms to put your keyboard on and it had a panel on the side for surgical instruments where you put your mousepad. It fully reclined. It was so comfortable you could sleep in it and sometimes did. You could fit two people on it and sometimes did. Eventually you had to put it out on the curb when you moved from that apartment since it was too heavy to take with you."", ""<P>"", ""Like many pieces of discarded medical equipment, it was probably haunted. The amount of comfort you got from it combined with the fact that you were in your twenties and it was so bloody comfortable canceled out any of the ghost vibes that revolved around it at the time. Your twenties are a time to take such risks. Now you wouldn't dare."", ""<P>"", ""You wish your internal organs were better at digesting plastic and other non-food items. The American diet appears to consist largely of soggy starch soaked in grease, which your gut reacts poorly to. You often must result to cooking for yourself from scratch to have any hope of not eating extremely expensive food that makes you violently ill. Living in a food desert has made this a daily nightmare, and you're having more and more trouble even getting fresh produce that isn't either prohibitively expensive or already swarmed with gnats and fruitflies at the grocery store."", ""<P>"", ""This film makes you nostalgic for luxuries such as chairs and grocery shopping.""]",Time to choose something different:,I wonder how much those cool chairs would go for at auction...,I've hard that high fructose corn syrup does wonders for digestion!,Cronenberg movies always put me in the mood for uncomfortable sex combined with viruses and parasites. Got anything to indulge me?,92,112,200,https://en.wikipedia.org/wiki/Crimes_of_the_Future_(2022_film),https://www.imdb.com/title/tt14549466/,https://tvtropes.org/pmwiki/pmwiki.php/Film/CrimesOfTheFuture2022
76,77,Paint Your Wagon,Joshua Logan,1969,164,"[""TITLE: Paint Your Wagon"", ""TEXT PLACEHOLDER 077"", ""<P>"", ""Prepare yourself for the bloody mayhem and unholy carnage of Joshua Logan's <I>Paint Your Wagon</I>!"", ""<P>"", ""This is a musical. A musical with Lee Marvin and Clint Eastwood. Yes, they both sing."", ""<P>"", ""Lee Marvin and Clint Eastwood are in a sort of <I>m\u00e9nage \u00e0 trois</I> with the same woman (Jean Seberg) in this film. If a woman tells you this is her favorite film, run. Nothing good will come of things. If adhering to this red flag narrows your dating pool too much, then that's on you. You should question your own life choices that brought you to this point."", ""<P>"", ""This is a two hour and forty-four minute musical that feels like it is two hours and forty-four minutes long. That's neither a good nor a bad thing. Time will neither drag nor fly while you watch this, which can make it perfect viewing for when you're at the gate at the airport waiting for your delayed flight to take off."", ""<P>"", ""Jean Seberg was also in <I>Breathless</I> by Jean-Luc Godard. That is where you recognize her from."", ""<P>"", ""Don't think too hard about what Jean Seberg and Clint Eastwood and/or Lee Marvin are getting up to behind closed doors in this film. Unless that's what you're into, of course."", ""<P>"", ""This is not going to be your favorite movie, but Lee Marvin's rendition of \""Wandrin' Star\"" is kind of a karaoke banger if available. Only a few notes are just below the very bottom of your range, but with practice you could croak out a passable version of this to show off...""]",Time to choose something different:,"Polyandry, drunken debauchery, Lee Marvin and Clint Eastwood singing? I need an alien to make sense of this stuff...",So do Lee Marvin and Clint Eastwood do ballet as well?,"When I saw Lee Marvin was in this, I was expecting a little more...war movie action? Could we get something more like that?",65,136,69,https://en.wikipedia.org/wiki/Paint_Your_Wagon_(film),https://www.imdb.com/title/tt0064782/,https://tvtropes.org/pmwiki/pmwiki.php/Film/PaintYourWagon
77,78,Jacques Brel Is Alive and Well and Living in Paris,Denis Héroux,1975,98,"[""TITLE: Jacques Brel Is Alive and Well and Living in Paris"", ""TEXT PLACEHOLDER 078"", ""<P>"", ""This feels like <I>Godspell</I> with Jacques Brel songs, sung in English. Gird yourself for some grotesqueries."", ""<P>"", ""This is not a good tool for introducing someone to the music of Jacques Brel. Instead you're going to put this in your pocket and wait for someone to gush with enthusiasm about Jacques Brel because of the French class they took in high school or (more likely) because they heard Amanda Palmer of The Dresden Dolls perform \""Amsterdam\"" at one of her concerts (which she has done every time you've seen her). At that point you will ask this person if they know about the Jacques Brel musical. You will then put on this musical to gauge their response. They will either lovehate it with great irony or they will cringe out of their own skin, at which point you will have a laugh and put on some Klaus Nomi or the Tom Waits musical <I>The Black Rider</I> or some Depeche Mode videos or something similar that's more to their taste."", ""<P>"", ""Either way it is unlikely that you will ever again raw-dog this musical by yourself completely sober in the middle of the afternoon, like you're about to do now. After this, you will be aware that this film is a thing that exists in this world, and that will be enough. Enjoy the silence and then move on.""]",Time to choose something different:,This wasn't even close to being a Dogme 95 film!,"Less singing, more dancing please!",Lots of drunken sailors in Jacques Brel's best songs...,10,136,17,https://en.wikipedia.org/wiki/Jacques_Brel_is_Alive_and_Well_and_Living_in_Paris,https://www.imdb.com/title/tt0121411/,NONE
78,79,Betty Boop Confidential,various,various,various,"[""TITLE: Betty Boop Confidential"", ""TEXT PLACEHOLDER 079"", ""<P>"", ""You've known a few women who have been saddled with the task of going through life and being taken seriously with a \""Betty Boop\"" voice. This isn't a burden you would envy."", ""<P>"", ""Aside from having to consciously suppress a bit of an accent, you yourself have been graced with a voice that sounds like a radio announcer when you code-switch into formal mode. You've had several strangers inform you that \""you should be in radio\"", at which point you will sometimes let them know that you did, in fact, used to be a DJ and sound engineer and announcer on a radio station."", ""<P>"", ""As a sound engineer, you were responsible for recording most of the station announcements and promotional spots for music coming to town. You read plenty of these yourself when there was no one else to read them, but you also worked with plenty of people with various types of voices, most of whom did not sound like typical voice professionals. These were frequently your favorite people to work with. It felt good to get people with unusual voices and accents on the air reading these promotional spots, even if it took a bit more patience and polishing."", ""<P>"", ""Over the course of that job you were able to record people with thick regional or foreign accents, people with speech impediments or developmental disabilities, transgender people at various points of their journey trying out new ways of speaking, people with unusually low-pitched or high-pitched voices, et cetera."", ""<P>"", ""You weathered occasional controversies for these choices. One of the women's shows on your station insisted on playing only \""women's voices\"" on their show, and there was some controversy over whether using the voice of a trans-woman counted as a woman's voice. You also had some sponsors and promoters and occasionally even programmers complain when someone with an \""imperfect\"" radio voice was used to promote one of their events. Often you would record an alternate version yourself to appease them but leave the original as an alternative to play. You were pretty passionate about making sure to get diverse voices on the radio, and you're still pretty proud of your successes in doing so.""]",Time to choose something different:,Animated flappers are so outdated. I want to see some old people humping trash cans!,Short hair is a pretty good look on women though. Especially when they go full tomboy!,I wonder if Betty Boop had a difficult childhood...,198,34,148,NONE,https://www.imdb.com/title/tt0326760/,NONE
79,80,God's Angry Man,Werner Herzog,1981,48,"[""TITLE: God's Angry Man"", ""TEXT PLACEHOLDER 080"", ""<P>"", ""This is a Werner Herzog short documentary about a sketchy televangelist. It is probably best known for the bizarre \""clapping monkeys with cymbals\"" scene, which the televangelist used on his show to mock the government agencies who were after him for fraud for the large amounts of money he was collecting from his faithful flock."", ""<P>"", ""You were around for some of the late wave of radio evangelists and televangelists at their worst. Back in the days before caller ID was ubiquitous, you used to call into their shows to prank and harass them during their frequent prayer drives, which gave you quite an adrenaline rush at the time. It felt righteous and dangerous and joyful to bother these crooks. You never would threaten anyone or even swear at them, but you had no qualms about claiming to be possessed by demons or being a demon or some other sort of divine being yourself."", ""<P>"", ""Some of these early experiments warped your taste. You were delighted years later to encounter a pair of albums by a group who called themselves The Christal Methodists. The tracks on these albums were a combination of electronic remixes of televangelist clips over electronic beats, together with recordings of them harassing various televangelists and AM radio hosts on the air. These were interspersed with Negativland/Over the Edge style clips of their \""fake\"" religious radio programming as they ranted about the importance of \""the second circumcision\"" and other insane concepts while interacting with crazed members of the general public who would call in with their own hot takes."", ""<P>"", ""When you first discovered this CD, it felt like you had found your people. You gave it heavy radio play.""]",Time to choose something different:,God wouldn't like communists and intellectuals!,Did Jacques Brel have any songs about televangelists?,I have a soft spot for deranged old men!,181,78,55,https://en.wikipedia.org/wiki/God%27s_Angry_Man,https://www.imdb.com/title/tt0080796/,NONE
80,81,The Great Ecstasy of the Woodcarver Steiner,Werner Herzog,1974,45,"[""TITLE: The Great Ecstasy of the Woodcarver Steiner"", ""TEXT PLACEHOLDER 081"", ""<P>"", ""You're not a fan of ski-flying or ski-jumping or ski-running or any outdoor winter sports, to be perfectly honest. This is probably a perfectly fine Werner Herzog documentary. You're surprised the concentration on wood-carving isn't greater. It's almost a blink-and-you-miss-it sort of thing. From then on it seems a straight up over-directed German sports documentary which was apparently shot for television. There are some dramatic mid-air shots of a guy on skis and a lot of fussing over how many inches or seconds or whatever he made it versus the existing record, the safety of the course, et cetera. Your eyes glaze over a bit as thee minutiae are discussed."", ""<P>"", ""Your strongest association with seeing someone on skis repeatedly is the \""agony of defeat\"" section on the opening credits of the television show <I>Wide World of Sports</I> in which a ski jumper crashes out in a dramatic manner. You had to watch this show repeatedly on Saturday afternoons when you were a kid and were dragged around to you mother's boyfriend's house. It marked the End of Cartoons and the point at which you lost any control of the television and were banished to \""go play outside\"" or whatever, well out of earshot of grown-ups since children were not to be seen or heard."", ""<P>"", ""You were just young enough still to be enjoying cartoons but not so young that you would find going outdoors by yourself in the middle of the woods very stimulating. You were at just the right age to find going out in the woods by yourself frightening and unpleasant. There was plenty to look at, of course. You could stare at trees. You could stand on a rusty pontoon and stare at a scum-covered lake allegedly full of water moccasins. You could try to untangle fishing line from the half-broken fishing poles on the pontoon. You could check one of the outdoor dogs running around for ticks and fleas. You could pick up sticks and break them against other sticks. You could walk around getting muddy. There weren't any other children around to play games with or anything. Sometimes your mom's boyfriend's son, who was several years older than you, might amuse himself by bullying you. He seemed to like picking you up by the throat and choking you and calling you a little faggot, but you enjoyed this much less than he did."", ""<P>"", ""At night the woods were dark and full of terrors. They looked like a photo-negative version of what they looked like during the day. In the year of the cicadas they were full of deafening and ominous creaking sounds, louder than the frogs and the crickets, and at the height you found yourself walking ankle deep amongst a bunch of discarded cicada exoskeletons. Your entire world was crawling with dead insects. You'd scurry inside and listen to your walkman with your three rotating cassette tapes and try to be neither seen nor heard.""]",Time to choose something different:,Are there any conspiracy theories about ski jumpers?,I hate winter sports. I'd rather find a way to have adventures in front of my computer screen!,Even bowling is more exciting than skiing!,181,72,3,https://en.wikipedia.org/wiki/The_Great_Ecstasy_of_Woodcarver_Steiner,https://www.imdb.com/title/tt0070136/,NONE
81,82,Invincible,Werner Herzog,2001,135,"[""TITLE: Invincible"", ""TEXT PLACEHOLDER 082"", ""<P>"", ""This is a Herzog film about a Jewish strongman during the run-up to WWII. Tim Roth plays a sketchy hypnotist, who hires the main character as a sort of circus performer to wear a blond wig and pretend to be a great Aryan superman, but drama ensues when he insists on playing actual legendary Jewish strongman Samson instead. His size and strength makes him a source of amusement for the Nazis and also provides him some protection. There's a romantic subplot, he has a little brother who acts as his moral conscience, et cetera. It's actually a weirdly enjoyable movie that disappeared down the memory hole for a lot of people."", ""<P>"", ""You were never especially strong or athletic in grade school. You were an only child raised by a single mother, so you never were good at sports. You were pretty bookish and liked to read and write. Go figure. This worked just fine for you until you hit middle school, which was a bit like being thrown into General Population in a prison. Suddenly you found yourself in a different world. You went to the Wrong School for teachers to believe you were smart, so you weren't tracked into gifted classes despite having straight A's and high test scores. So you got to be a nerdy pussy around a bunch of much bigger and older and rougher kids who bullied the shit out of you. And suddenly you found yourself in survival mode."", ""<P>"", ""Gym class of course was particularly horrifying. The older, bigger kids--who behaved particularly badly in groups--really liked bullying the smaller younger kids, especially when they would take their clothes off and try to clean up after class. You learned pretty quickly that actually trying to take a shower in the curtainless communal showers they had was a no-go if you were not actually an athlete of some sort."", ""<P>"", ""Merely changing from your street clothes to your gym clothes and back was pretty harrowing. The bullies would often choose someone to pick on during this vulnerable time. At best the kid would be stripped fully naked, his underclothes thrown in the shower to get wet, and he'd get slapped around and spanked. At worst they'd also twist his nipples or grab his dick and balls or give him a spanking (or worse) until he cried like a baby, to everyone's great amusement. The harder he helplessly fought this, the funnier it would be. The gym teachers, of course, turned a blind eye to all these shenanigans. Good clean hazing fun, boys will be boys."", ""<P>"", ""You had your turn in the barrel a few times, mostly just getting stripped and slapped around and getting your clothes wet, until you discovered some coping mechanisms. You ended up deliberately making friends with a much larger, dumber kid who was not someone you'd normally talk to but was at least not one of the bullies. He'd failed classes and was held back and he wasn't the sharpest tool in the shed, but at least he had a sense of humor. You'd try to stick close to him since he was big enough for them not to fuck with, and he'd usually try to stop them from fucking with you too."", ""<P>"", ""You also started carrying a weapon of sorts to school. You were usually wary of bringing an actual knife for fear of being expelled or worse, although you fell back on this a few times when things looked dicey. You finally settled on bringing in a metal comb, a Hartz flea comb with a hard plastic handle, designed for combing vermin off of dogs. You wrapped the handle with black electrical tape to make the logo less noticeable, and the teachers thought nothing of it. Whenever it was time to change from your pants to your gym shorts, you would find that a convenient time to put your back against the lockers and \""comb your hair\"" so it was in your hand while you were at your most vulnerable."", ""<P>"", ""This precaution cut down dramatically on the number of times you got physically fucked with in the locker room at least. It also gave you a bit of protection on the bus home, which you had to share with actual high school kids, some of whom would regularly carry switchblades which they would sit and flick open and closed out of boredom."", ""<P>"", ""During this time you suddenly became depressed and moody, much to the puzzlement of your parents, who had trouble believing that school had gotten <I>that</I> much worse since their own school days and not reflecting that their social circumstances (e.g. having older siblings or going to a smaller school at the time) might be different from your own."", ""<P>"", ""After some further bullying incidents outside of school during the summer, something in you snapped a bit and you resolved to make things change. You started working out pretty aggressively around the time you were hitting puberty, doing push-ups and lifting weights with dumbbells every day three times a day. You lifted weights on machines whenever you could get into the gym as well. By the end of eighth grade you ended up putting on a good deal of muscle mass along with your growth spurt. Aside from being quite strong, you still weren't very athletic, and some of your classmates who previously had bullied you were disappointed you didn't want to be on the football team with them."", ""<P>"", ""By the time you graduated, you ended up being quite a bit larger than most of the kids who had bullied you in middle school. One guy in particular who had been one of the milder bullies barely recognized you when you ran into him at a gas station, remarking that \""You look like you kick people's asses for a living.\"" You took this as a compliment coming from him."", ""<P>"", ""Years later you're not in quite as good form as you were when you graduated. But you're glad you've at least retained some of the muscle, and you try to work out when you can to keep it. You don't talk much about being bullied in school. You've found that for some reason people still find the thought of a bigger person being pushed around as a kid <I>extremely</I> amusing, especially if they learn there was some horrifying sexual aspect to it. So it's best not to bring up these days.""]",Time to choose something different:,You don't have to be strong to swindle war widows out of their pensions!,I love feats of strength. Got anything with arm-wrestling in it?,So what happens if you don't have a brawny older brother to stop people from bullying you?,199,74,129,https://en.wikipedia.org/wiki/Invincible_(2001_theatrical_film),https://www.imdb.com/title/tt0245171/,NONE
82,83,Herdsmen of the Sun,Werner Herzog,1989,52,"[""TITLE: Herdsmen of the Sun"", ""TEXT PLACEHOLDER 083"", ""<P>"", ""This is a Herzog documentary that you assume you're going to hate, but which ends up being both grotesque and charming. It deals with some of the traditions and beliefs of an African tribe. The highlight is a sort of mating ritual beauty contest they have for men, where the unmarried men of the tribe will put makeup on their faces and line up and smile, and the women will pick their favorite painted doll bachelor from the line-up to get to know better during the festivities. It's like a Sadie Hawkins Day ball in Botswana or something. During the performance the men will dance and put on big weird grotesque smiles with wide eyes, trying to look beautiful for the ladies."", ""<P>"", ""This reminds you a bit of your composition class in your senior year of high school. The teacher required every student to keep a journal, which you were given a chance to write in at-will or occasionally you'd be given a topic to write on and time to do so in class. The journals were all stored in the back of the classroom. Most of these activities were not graded--the teacher would read the journals and make comments and sometimes start conversations with students in private based on what they had written. You enjoyed jotting your absurd thoughts and observations down. The point of the exercise was to get students in the habit of writing their thoughts and opinions down in a creative manner (which clearly worked for you), but you suspect part of it was also because she enjoyed reading all the gossip about your classmates and finding out who was dating who."", ""<P>"", ""One day before class, one of your dirtbag friends grabbed the glitter-bedecked journal of one of the smarter girls in the classroom who also happened to be a cheerleader. She was one of the most annoyingly positive people you have ever known. You found this intrusion both inappropriate and hilarious."", ""<P>"", ""Your friend paged through her journal to see what kinds of deep dark secrets were hidden within this pony-sticker decorated tome. He started doing dramatic readings of the best bits he found in it, to the amusement of everyone but the cheerleader's friends. The best bit he found was an <I>extremely</I> earnest entry she had written unprompted about the importance of smiling. She went on for several paragraphs about how a smile is a gateway to making friends and putting smiles on the faces of other people--so turn that frown upside-down!"", ""<P>"", ""As funny as you found this at the time, you reflect that there are worse things to be than someone who tries to guide rays of sunshine directly up other people's asses.""]",Time to choose something different:,I heard that the tie-breaker for this competition is a dance-off!,Being a hit with the ladies can be fun AND profitable!,"Having a great smile is one thing, but what women really love is a fast car!",136,199,23,https://en.wikipedia.org/wiki/Herdsmen_of_the_Sun,https://www.imdb.com/title/tt0098669/,NONE
83,84,Queen of the Desert,Werner Herzog,2015,128,"[""TITLE: Queen of the Desert"", ""TEXT PLACEHOLDER 084"", ""<P>"", ""This is a Werner Herzog film starring Nicole Kidman. It's a bit like Lawrence of Arabia, except it's about a woman. It's essentially a biopic of British adventurer Gertrude Bell, whose travels and diplomacy helped the British in their colonization of the Near East, which remains a paradise today thanks to their efforts."", ""<P>"", ""T.E. Lawrence actually makes an appearance in this as a character, played by Robert Pattinson in an amusingly camp manner. Still, you'd much prefer to be watching <I>The Adventures of Priscilla, Queen of the Desert</I>, which has \""kneel before Zod\"" Terence Stamp playing a trans woman together with Hugo Weaving and Guy Pearce in drag. That film is 23 minutes shorter and has far less colonization in it."", ""<P>"", ""You're not going to like this film or particularly hate it. Some films are like that. They just crash against your soul with a dull thud and leave you largely unchanged as a person. You could have spent those two hours of your life doing something different and better, but honestly you probably wouldn't have. No need to resent it. Check it off your list and move on. You are one film closer to being a Werner Herzog completist now.""]",Time to choose something different:,"Trekking through the desert is great, but haunted houses are more my speed.",I bet Count Dracula would have given her a royal welcome!,All this imperialism just makes me want to put my fist through a Union Jack.,177,16,210,https://en.wikipedia.org/wiki/Queen_of_the_Desert_(film),https://www.imdb.com/title/tt1837636/,NONE
84,85,Salt and Fire,Werner Herzog,2016,98,"[""TITLE: Salt and Fire"", ""TEXT PLACEHOLDER 085"", ""<P>"", ""This is a Herzog film with Michael Shannon as the eco-terrorist sorta bad guy antagonist, who kidnaps three scientists and strands one of them along with his two adopted native blind children at the scene of an environmental disaster to drive home the need for saving our planet. Alleged sex pest and cosmologist Lawrence Krauss also appears as a distraction in a wheelchair for most of the film."", ""<P>"", ""Let's face it. Herzog really just wanted to make a film where much of the dramatic action is set in a toxic salt flat, with bonus volcanos. It's well-meaning and Michael Shannon-ish. For better or worse, the toxic salt flat will be the star of this film. It looks to you to be a good place to race cars."", ""<P>"", ""There's an anamorphic fresco that plays a key role in this as well--one of those images that looks distorted and stretched when viewed straight-on but which appears normal when you view it from a certain angle. This reminds you of a festival in Little Italy in your city which features sidewalk artists creating quite a lot of such frescoes. Depressingly, you remember one of these frescoes in front of one of your favorite Italian delis which featured a portrait of Donald Trump while he was running for his first term for president, which appeared to be possibly commissioned by the restaurant. Cannolis from that place never tasted quite the same to you after that. The end of this film makes you fear for the future of the planet and mourn for your lost cannolis.""]",Time to choose something different:,All this ecoterrorism was a good warmup. I think I'm ready for some full-on genocide!,Actually let's back down a bit and watch some colorful parades and costumes and musicians instead.,"Sex work is probably a little safer than dealing with eco-terrorists, but not by much...",118,99,151,https://en.wikipedia.org/wiki/Salt_and_Fire,https://www.imdb.com/title/tt4441150/,NONE
