,text_section
29,"[""TITLE: Ieri Oggi Domani"", ""TEXT PLACEHOLDER 030"", ""<P>"", ""The title of this one in English is <I>Yesterday, Today, and Tomorrow</I>. You speak some Italian, but for some reason you always have trouble keeping these particular words straight. You always have to drag it through French and remind yourself how close they are to <I>hier</I>, <I>aujourd'hui</I> and <I>demain</I> to tell which is which."", ""<P>"", ""This film is from 1963 and features three vignettes (corresponding roughly to the past, present and future) starring Sophia Loren and Marcello Mastroianni. The indiviual stories are somewhat bawdy. Your parents probably fucked to this film at some point. It must have been popular at the drive-ins. You know your parents went to see <I>Flesh Gordon</I> (that's not a typo) in the waning days of drive-ins, so it's not unlikely. You try not to think about it. You certainly know your own father had an enthusiasm for Sophia Loren, but your own father had an enthusiasm for a lot of women back in those days."", ""<P>"", ""Seriously, stop thinking about it. Just watch the movie."", ""<P>"", ""The \""yesterday\"" segment has a plot where Sophia Loren gets busted (haw) for selling black market cigarettes, but takes advantage of a loophole that they can't send her to jail for it while she is pregnant or until six months after she's delivered a baby. So she comes up with a brilliant plan to get knocked up and stay knocked up continuously until...? This goes fine until after having seven kids in eight years poor Marcello Mastroianni is finally unable to keep up the pace. They consider having a friend knock her up instead, which provides a bit of spicy drama, but thankfully ends up not happening."", ""<P>"", ""It's a funny story, but the current climate of trad-wife BREED HER fetishization among the right wing today puts you off a bit."", ""<P>"", ""The second story is very car-oriented, with poor Marcello wrecking a Rolls Royce while being distracted by a humorously bitchy Sophia. Silly story but fun to see the two of them arguing and hamming it up."", ""<P>"", ""The third has Sophia Loren playing one of those sixties hookers with a heart of gold that never quite gets down to business, with Marcello Mastroianni as her client/boyfriend. Her habit of dressing/undressing in front of the window infuriates her nosy neighbor (and provides some excuse to see Sophia Loren in something flimsy) and distracts the woman's grandson, who ends up deciding that maybe he isn't fit to head off to the monastery after all. This provides the impetus for the plot conflict, which works very well and is just the right mix of spicy and sweet."", ""<P>"", ""You reflect that you happen to have a surprising number of friends who intended to go into the priesthood but ultimately decided not to for one reason or another and wound up doing something radically different. You chalk this up to a life well lived, at least in some portions."", ""<P>"", ""You are now hungry for some lasagna.""]"
30,"[""TITLE: The Maid (2009)"", ""TEXT PLACEHOLDER 031"", ""<P>"", ""You've never actually had or hired a maid yourself, but much of your life has been maid adjacent, and you've found yourself defending the practice of paying someone else to clean your house or office to other people depressingly often. Many people find the entire concept inherently degrading, having some sort of virtuous idea that human beings have a moral responsibility to do their own chores, which somehow makes them humble and virtuous. You've always considered this phony progressivism. People talk a big game about how dehumanizing housework is because they find anyone who cleans for someone else subhuman by nature. The minute you take a mop out of her hands and put her on an assembly line, however, all this concern evaporates. She's finally a member of the respectable workforce."", ""<P>"", ""You've had a surprising amount of arguments with people about concepts like Wages for Housework and other early lefty feminist ideas about the matter. Their eyes glaze over. For them it is as simple as \""the mop is bad, the assembly line is good\"". Several of these people in other conversation have defended sex work while decrying domestic housework as inherently demeaning, even when done for people with disabilities who can't do it for themselves--which should apparently be done by unpaid volunteers for church charities or other non-profits. As soon as you are paid to do it, you are a broom-whore."", ""<P>"", ""Your grandmother cleaned people's houses for extra dough. Your mother and father ran their own cleaning business for awhile before you were born. Your belated wife was a Merry Maid in college. And, speaking of sex work, you've known multiple people who have done nude or scantily-clad versions of the job, acting as naked maids or doing it in skimpy costumes--which is a bit more performative but apparently still involved a lot of actual scrubbing work. Their descriptions of this sounded a bit degrading, to be honest, but it also sounds like that was at least partially the point. In any case, in none of those cases did it sound like it involved any actual contact."", ""<P>"", ""For all your strong beliefs on this, you've never been able to bring yourself to have a maid clean your living space. As much as you've made fun of others for being this way, you're still the kind of person who feels the need to clean your house before the maid comes over so you're not embarrassed by the mess. And you're never quite sure what a fair rate is to reimburse someone for this. One of the \""naked maid\"" people even offered to come over and do it in or out of costume, to your great surprise, but you were doubly unable to determine a fair rate of reimbursement for this."", ""<P>"", ""You've never paid for sex either, for that matter. Just throwing that out there.""]"
31,"[""TITLE: Rodin"", ""TEXT PLACEHOLDER 032"", ""<P>"", ""Rodin's <I>The Thinker</I> was one of the first pieces of sculpture that really grabbed your attention. You've seen this countless times, but the first time you remember it really affecting you was when you saw it in the Montreal Museum of Fine Art when you were a young corn dog barely out of your teens who didn't yet know how art worked. You were baffled--how is this <I>here</I>, you remember thinking, without realizing there are a few dozen of these sprinkled all over the world. You've visited several others since then, and the Baltimore Museum of Art has a copy you'll occasionally make a pilgrimage to see."", ""<P>"", ""The most impressive Rodin work you've seen, however, remains <I>The Gates of Hell</I>. In particular, the original plaster that lives at the Musee D'Orsay in Paris, which is worth the price of admission and features all your favorites in one place."", ""<P>"", ""And only a few feet away you can see a larger version of poor starving Ugolino devouring his children, one of the best moments of Dante's Inferno."", ""<P>"", ""This film has a lot of naked women posing for Rodin. It also has a very non-naked Balzac posing for him, to your relief. You weren't sure how that was going to work out."", ""<P>"", ""One of your friends, who is an actual film critic, also reads and reviews lots and lots of Balzac on his Facebook page. You've read an inadequate amount of Balzac over the years, but you like what you've read. Every time your friend posts some review of whichever Balzac work he has finished most recently, you resolve to read more but never do."", ""<P>"", ""Your friend is much better at film criticism than you are, which is why he has been paid to do it professionally you suppose. He watches at least fifteen or twenty films per week and does a weekly post on social media in which he gives succinct and pithy eight or nine word reviews of all of them. You lack the ability of doing this obviously. You're barely able to stay on topic."", ""<P>"", ""Anyway, <I>Rodin</I>. Standard biopic, not much to think about.""]"
32,"[""TITLE: Eiffel"", ""TEXT PLACEHOLDER 033"", ""<P>"", ""This film reminds you of Cincinnati. In particular King's Island, an amusement park which features a one-third scale replica of the Eiffel tower. Your father lived about five miles from the park when his work moved him there when you were a kid, one of the many cities he bounced around to in your younger years, so you got to spend a good amount of time near this landmark whenever it was his turn to have you at his place. They had fireworks every night, which was cute at first but got annoying pretty quickly."", ""<P>"", ""The last time you dashed off to spend the better part of a month in Paris, you told few of your friends where you were going since you didn't feel like explaining. You sent a couple of your Indiana/Ohio friends a selfie of yourself next to the actual Eiffel Tower with a text suggesting that you were at King's Island riding The Beast. To your surprise they actually believed you, and they were utterly baffled by further texts you sent them of pictures taken in Paris' red light district near where you were staying, which looks nothing like Cincinnati to say the least."", ""<P>"", ""Upon arrival at the actual Eiffel Tower, a large bird shit on you. You considered this a sign of good luck. You were also delighted to find a stand selling <I>barbe a papa</I> (French for \""cotton candy\""), which was when it <I>finally</I> dawned on you where they got the name for <I>Barbapapa</I>, your favorite French cartoon when you were a kid which featured an amorphous pink blob and his other blob friends who could all transform into different shapes. All in all it was a great way to hit the ground running on your Paris trip.""]"
33,"[""TITLE: Joan of Arc"", ""TEXT PLACEHOLDER 034"", ""<P>"", ""At first this looks like it's going to be a long, dull slog of a biopic of Joan of Arc. But then you see it's directed by Bruno Dumont. Make no mistake, it's still going to be fairly long and dull. But it's also going to get weird."", ""<P>"", ""First of all, it's <I>kinda</I> a musical. What was left of renowned French singer Christophe is in it, playing one of the priests who questions Joan at length.He also does some of the songs for the soundtrack. There's really no good way to translate this bit of casting into English."", ""<P>"", ""One of Joan's prominent soldiers is Gilles de Rais. You swear that you've heard this name in some other context, before looking it up and finding that this is indeed the famous child killer Gilles de Rais, back before he made it big for what he is best known for. No children are harmed in this film. Well, except for Joan, who (SPOILER) is ultimately imprisoned and burned at the stake."", ""<P>"", ""You initially think that a film about someone being burned at the stake is not a good choice for a musical. But then you remind yourself that one of your favorite opera arias of all time (\""Stride la Vampa\"" from <I>Il Trovatore</I>) is about precisely that topic."", ""<P>"", ""You pause the film to go listen to that as soon as the thought occurs to you."", ""<P>"", ""You are sad that you have not been able to track down one of your favorite versions of this particular aria, in which a non-famous soprano sings the song while gargling water before giving a succinct and hilariously profane summary in English of the basic contents of the opera. This was played regularly on your radio show. It is not on Spotify or Youtube--you checked...""]"
34,"[""TITLE: Gainsbourg: A Heroic Life"", ""TEXT PLACEHOLDER 035"", ""<P>"", ""Serge Gainsbourg is one of your go-tos for karaoke tunes. Whether it's songs he sang himself or ones he wrote for other people, half your karaoke songs are Gainsbourg favorites. The ones he sang himself are solidly in your vocal range, and the ones he wrote for women to sing are just fun to sing as a man."", ""<P>"", ""Looks-wise he also happens to remind you a bit of your father in his younger years. Same big nose, same big ears. Slightly louche, loved the ladies, but certainly not nearly as drinky."", ""<P>"", ""Gainsbourg's mug is literally a character in this biopic. He follows him around like a devil on his shoulder, telling him to do things that are often a bit dodgy."", ""<P>"", ""You tend not to like biopics, but this one hits all the right notes for you. A mostly-likeable rogue as the subject, plenty of eye candy and ear candy, and the surreal elements like Gainsbourg's puppet doppelgangers following him around to encourage his best and worst instincts. Plus all the satisfying little appearances by characters such as Charles Aznavour and Georges Brassens."", ""<P>"", ""This will be a rewatch for you when your Netflix and chill turns into Netflix and snore and you're left behind on the couch still wired and not ready for bed and trying not to wake someone up.""]"
35,"[""TITLE: Grizzly Man"", ""TEXT PLACEHOLDER 036"", ""<P>"", ""This is one of those films you never watched because you thought you had already seen it due to its similarities to a different film with a much lighter tone. The other film, <I>Project Grizzly</I>, dealt with a man named Troy Hurtubise, a Canadian inventor who became similarly obsessed with bears after a harrowing encounter with a grizzly. Rather than anthropomorphizing them and infantilizing them, he saw the risks in bear research and decided to build a bear-proof suit of armor to research them up close. That rather quirky documentary traces Hurtubise's story and his work on one of his anti-bear exoskeletons."", ""<P>"", ""This documentary, on the other hand, is directed by Werner Herzog, and (at least for someone with your morbid sense of humor) is darkly comic in parts, in a somewhat quirky way. The subject is another bear-obsessed man-child who ultimately ends up being mauled by one of his bear friends. Nature red in tooth and claw, as they say. You've personally always had a healthy respect for and wariness of wildlife--certainly for any but the smallest, most docile animals. Certainly any animal larger than yourself is inherently frightening."", ""<P>"", ""One of your most foolish wildlife encounters you can recall as an adult was the time you taunted an angry squirrel. He was sitting on the roof of your porch a few feet from your head, chirping at you, clearly unhappy about you being in his space. Feeling a bit whimsical, you decided to stare him down and make the same noise back to him to see what he would do. This further agitated the squirrel, who bushed up his tail and stood up and was clearly growing angrier and angrier. At this point you were faced with a dilemma. You couldn't remember the rules for what to do with a black squirrel versus a grizzly squirrel so you took a combined approach, angrily chirping back but slowly backing out of range to make sure he wasn't going to jump on your head, which was seeming increasingly likely the angrier he got. Eventually you got out of his range and he calmed down and you quickly retreated to the safety of your car. Your adventure did not come to an end."", ""<P>"", ""The poor fucker in this documentary was not so cautious or so lucky. He got into bearspace and decided they were his new friends, much easier to deal with than humans. He considered himself an honorary bear. He gave them cute names and took lots of fascinating videos of his encounters. And then eventually he ended up being disemboweled in his tent by one of his whimsically named bear friends, leaving an apparently-horrifying audio recording of the event (which Herzog listens to and is shaken by)."", ""<P>"", ""Troy Hurtubise, the bear exoskeleton man, ended up being killed in a particularly gruesome car accident, burned to death in his vehicle when he collided with a fuel truck. It just goes to show that sometimes the danger you prepare for is not the one that gets you in the end.""]"
36,"[""TITLE: Woyzeck"", ""TEXT PLACEHOLDER 037"", ""<P>"", ""Another Klaus Kinski film by Werner Herzog. This one is short and \""sweet\"", at least for that pairing, though it ultimately ends in tragedy. Kinski gets to play a mentally unstable soldier who is on an all-pea diet, which doesn't sound like it would be good for you. Here he looks pale and miserable and malnourished, and he ends up being cuckolded by a drum major to boot."", ""<P>"", ""You like peas, but not enough to eat them exclusively. It was a household joke that your spouse would often add peas to macaroni and cheese so you could savor \""that fresh pea taste\"". But too much of anything, whether alcohol or peas, can lead to madness. Orson Welles' notorious pea adverts are a testament to this fact."", ""<P>"", ""<iframe width=\""560\"" height=\""315\"" src=\""https://www.youtube.com/embed/V14PfDDwxlE?si=dHAeNm8p8xWDtsRE\"" title=\""YouTube video player\"" frameborder=\""0\"" allow=\""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share\"" referrerpolicy=\""strict-origin-when-cross-origin\"" allowfullscreen></iframe>"", ""<P>"", ""You always try to keep at least one can of peas on hand so that, if pressed, you can make some kind of Olivye salad. A Russian ex-girlfriend introduced you to this culinary delight, but seemed displeased when you learned to make it yourself and were no longer dependent on her to supply it to you. The version you would always make required a couple of potatoes, a nearly equal but slightly smaller amount of carrots, a few hard-boiled eggs (about the same amount as the carrots), some dill pickles, a can of peas, some meat (steak or pork or ham cut into cubes and cooked), some mayonnaise, and some fresh chopped dill and salt and pepper to taste. You cut up the potatoes and carrots into cubes roughly the size of the peas and boil them until they are slightly soft but not falling apart. Then you cut up the hard-boiled eggs and the dill pickles, again keeping them in cubes about the same size as the peas. You then make a meaty potato salad out of this by mixing the mayo with the dill and salt and pepper and then stirring in the other ingredients, adding the more fragile ones last and garnishing with any leftover dill. A delicious Soviet treat! You decide to make some after you've finished watching the film, leaving out the meat if you happen to be vegetarian."", ""<P>"", ""This film also contains the most beautiful bedtime story of all time which you'll encounter in section 38, if you haven't already been there."", ""<P>""]"
37,"[""TITLE: A Trip to the Moon"", ""TEXT PLACEHOLDER 038"", ""<P>"", ""This film reminds you of the greatest children's bedtime story of all time. This was featured in the film <I>Woyzeck</I>, which you encountered back in Section 37 (or will encounter eventually) and which was also immortalized by Tom Waits:"", ""<P>"", ""<I>"", ""Once upon a time, there was a poor child<BR>"", ""With no father and no mother.<BR>"", ""And everything was dead,<BR>"", ""And no one was left in the whole world.<BR>"", ""Everything was dead.<BR>"", ""<BR>"", ""And the child went and searched day and night,<BR>"", ""And since nobody was left on the earth<BR>"", ""He wanted to go up in to the heavens.<BR>"", ""And the moon was looking at him so friendly.<BR>"", ""And when he finally got to the moon,<BR>"", ""The moon was a piece of rotten wood.<BR>"", ""<BR>"", ""And then he went to the sun.<BR>"", ""And when he got there,<BR>"", ""The sun was a wilted sunflower.<BR>"", ""<BR>"", ""And when he got to the stars,<BR>"", ""They were little golden flies, stuck up there<BR>"", ""Like the shrike sticks \u2018em on a black thorn.<BR>"", ""<BR>"", ""And when he wanted to go back down to Earth,<BR>"", ""The Earth was an overturned piss-pot.<BR>"", ""<BR>"", ""And he was all alone.<BR>"", ""<BR>"", ""And he sat down and he cried.<BR>"", ""And he is there to this day.<BR>"", ""<BR>"", ""All alone.<BR>"", ""</I>"", ""<P>"", ""<iframe width=\""560\"" height=\""315\"" src=\""https://www.youtube.com/embed/xewk8uCY87E?si=6LZyoAYnlvEuww4J\"" title=\""YouTube video player\"" frameborder=\""0\"" allow=\""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share\"" referrerpolicy=\""strict-origin-when-cross-origin\"" allowfullscreen></iframe>"", ""<P>""]"
38,"[""TITLE: Haxan"", ""TEXT PLACEHOLDER 039"", ""<P>"", ""This film is about witches. Silent ones, rendered in black and white. No Shakespearean lines pour forth from their mouths, and if their skin is green you wouldn't know."", ""<P>"", ""It reminds you of one of your earliest existing poems (written roughly 21 years ago this week, depending on how far in the future you are reading this), archived somewhere in the dregs of your Hotmail account, which you got bored at work and dashed off and sent to your Wiccan ex-girlfriend. The poem deals with the comic strip character Broom Hilda in the first stanza, the Michelin Man in the second, and the Kool-Aid Man in the third--all sinister apparitions which scared you in your childhood. There's no better place to put this poem than here, so read it again for the first time. You never thought up a proper title for this one, so we'll just call it \""Childhood Nemeses\"":"", ""<P>"", ""<BR>"", ""I<BR>"", ""<BR>"", ""the wart scared me the least<BR>"", ""squatting on her bulbous nose<BR>"", ""ugly but not sinister<BR>"", ""her hair limp and stringy<BR>"", ""drooped in thin lines<BR>"", ""from under a crumpled black hat<BR>"", ""flower perched on top<BR>"", ""her eyes could hold a glint of tenderness<BR>"", ""when they weren't fierce and angular<BR>"", ""brows drawn into a disapproving V<BR>"", ""and even her green skin was white on weekdays<BR>"", ""the mouth is what would wake me up<BR>"", ""too large and dark and full of rounded teeth<BR>"", ""flashing at me over steaming cauldrons<BR>"", ""<BR>"", ""II<BR>"", ""<BR>"", ""bibendum<BR>"", ""his name was latin<BR>"", ""nunc est bibendum<BR>"", ""now is the time to drink<BR>"", ""but to me he was a fat mummy<BR>"", ""who ate children<BR>"", ""i wondered where the valve stems were<BR>"", ""on the stack of pale tires that formed him<BR>"", ""and how he'd look deflated<BR>"", ""<BR>"", ""i wasn't going down without a fight<BR>"", ""<BR>"", ""III<BR>"", ""<BR>"", ""the anticipation was the worst<BR>"", ""for a heartbeat there was nothing but the wall<BR>"", ""and even with the sound down<BR>"", ""you knew what was coming<BR>"", ""real glass would shatter on the bricks<BR>"", ""even wolf's breath doesn't knock those down<BR>"", ""i hoped i'd be struck dead by the debris<BR>"", ""before he got too close<BR>"", ""i could tell the smile was just a lie<BR>"", ""</I>"", ""<P>""]"
39,"[""TITLE: Superstar: The Karen Carpenter Story"", ""TEXT PLACEHOLDER 040"", ""<P>"", ""Your first Todd Haynes flick. At some point every queer kid (or straight kid like you with lots of queer friends) plays with their sister's Barbies wrong. It brings you back to childhood, an innocent time to explore taboos and have your dolls act out all the horrid family dramas (including eating disorders) you'd seen depicted on \""Phil Donahue\"" and \""Geraldo\"" and Jerry Springer. Add a one-way mirror and a couple of child therapists to such a session and some follow-up conversations and you have a recipe for better adjusted children."", ""<P>"", ""You didn't need to see the Barbie movie when it came out. You didn't need to see <I>Oppenheimer</I> either. You'd already acted out the dramas within them with your friends in school. You and another friend (a straight one) burned all his GI Joes with WD-40 and a lighter, watching them melt and recreating their agonized screams in a mix of nuclear holocaust and Agent Orange. The Culling of the GI Joes seemed quite cathartic for your friend, whose truck driver father (unbeknownst to you) had burned to death in a horrific truck crash a few months prior to your act of creative destruction. He ended up institutionalized shortly afterwards and showed up heavily medicated with a heavily modified personality at school months later before being removed to a Christian private school. Your queer Barbie friend had a similar fate, sent off to private school to spare him the merciless bullying he undoubtedly would have suffered at your school. You're glad to see he's thriving now."", ""<P>"", ""Upon rewatching this film, you realize it had a lot more spanking in it than you initially remembered."", ""<P>"", ""Feel free to take a moment to go down a Youtube rabbit hole of related queerdoll content before moving on to the next film. You've earned it. I'd particularly recommend revisiting \""Ken\"" by The Negro Problem, Li'l Pound Cake, and Shaye St. John."", ""<P>"", ""<iframe width=\""560\"" height=\""315\"" src=\""https://www.youtube.com/embed/AAigB_xXOuk?si=u-A69WAvnC5wcN5o\"" title=\""YouTube video player\"" frameborder=\""0\"" allow=\""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share\"" referrerpolicy=\""strict-origin-when-cross-origin\"" allowfullscreen></iframe>"", ""<P>"", ""<iframe width=\""560\"" height=\""315\"" src=\""https://www.youtube.com/embed/cV2RdJzeBjI?si=hWEMVF1WJnh-QsBM\"" title=\""YouTube video player\"" frameborder=\""0\"" allow=\""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share\"" referrerpolicy=\""strict-origin-when-cross-origin\"" allowfullscreen></iframe>"", ""<P>"", ""<iframe width=\""560\"" height=\""315\"" src=\""https://www.youtube.com/embed/wWqbRXr6R-c?si=g-hDQt0QHjHJBF8_\"" title=\""YouTube video player\"" frameborder=\""0\"" allow=\""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share\"" referrerpolicy=\""strict-origin-when-cross-origin\"" allowfullscreen></iframe>"", ""<P>""]"
40,"[""TITLE: Poison"", ""TEXT PLACEHOLDER 041"", ""<P>"", ""This weird early Todd Haynes flick is like three movies in one. There's a Dateline NBC style true-crime fake-doc about a kid killing his entire family, there's a cheesy sci-fi Doctor Jekyll and Mister Sex-Leper thing, and there's a very gay section where juvenile delinquents find love in prison which alternates between being gritty and violent and soft and colorful and pastoral, with inmates frolicking in an Arcadian wonderland."", ""<P>"", ""Thankfully you've never been locked up (unless you have--and if you're reading this and you are one of the author's friends, there's a good chance that you may have, in which you can skip a paragraph or two ahead). You have plenty of friends who have been, but their stories are theirs alone to tell, whether they are told to you or not. Some of the ones you've heard from them are strange or funny, but most are dispiriting and humbling and generally not good for the soul. People are often monsters when they feel like they have other people completely at their mercy, which is a situation that happens frequently in those places, both legally and socially."", ""<P>"", ""All of this depresses you, and you search desperately for something else to be reminded of. As demoralized as you feel, you do genuinely enjoy the film, which is like almost nothing else you've seen. You allow yourself to be amused by memories of watching early episodes of <I>Superjail</I>, the ones which end in some sort of over-the-top psychedelic homoerotic freakout bloodbath. Sometimes the darkest or dumbest distractions are the best distraction, and this does the trick.""]"
41,"[""TITLE: Monsieur Hulot's Holiday"", ""TEXT PLACEHOLDER 042"", ""<P>"", ""You are filled with dread going into this film, knowing that Monsieur Hulot is often compared to Mr. Bean. You like Rowan Atkinson, particularly in installments of the <I>Blackadder</I> series, but Mr. Bean goes through you like a knife. Remembering also the French affinity for Jerry Lewis, you are ready for this film to be unbearable."", ""<P>"", ""To your amazement, the film is actually very, very funny. There's plenty of slapstick, but it is much less vulgar than you expected. More of it is running jokes and clever chain reactions, much less cringey and grotesque than you had braced yourself for."", ""<P>"", ""You generally don't do well at the beach. You are notorious for never wearing shorts, no matter how hot it is. Let's just say you don't tan well. You're also known for never wearing any kind of open-toed shoes. At the beach you will grudgingly swap your boots for Crocs just to keep sand from getting in your regular footwear, and if you're getting in the water you'll put on some swim trunks under your jeans and strip down to them to splash around in the water."", ""<P>"", ""Once when you were a child your father took you to the beach in Florida. At the beginning of the day he made sure you were slathered in sunscreen, but never thought about the need to reapply this throughout the day. By the end of the day you had a severe sunburn, bad enough to peel and leave large, juicy pus-filled blisters which needed to be popped with a needle sterilized over a cigarette lighter. These then scabbed over and itched and left you in agony, which was (incorrectly) described as sun poisoning but in reality was just a very severe sunburn. Regular applications of Noxzema provided some relief at least. This experience didn't leave you with a lot of enthusiasm for frolicking at the beach.""]"
42,"[""TITLE: Munchhausen"", ""TEXT PLACEHOLDER 043"", ""<P>"", ""This is not the 1988 Terry Gilliam film, but rather the Nazi-era 1943 German film, commissioned by Josef Goebbels, which provides rather unsettling proof that even the Nazis had a sense of humor. Hitler was a vegetarian (kinda). He had a pet dog. He was just like you and me in many ways, aside from being an otherwise inhuman monster. Maybe in a different era you could have been friends, and maybe he'd be polite enough to keep his noxious opinions to himself while you bantered over liters of strong German beer."", ""<P>"", ""You think fondly back on the Terry Gilliam film, which was your first exposure to Uma Thurman, who played Venus. She was heavily featured in the advertising for the film, standing nude on a shell (with her naughty bits modestly covered by her hands) as portrayed in the famous Botticelli painting. This turned you into auite a junior art appreciator."", ""<P>"", ""Venus' long red hair was featured on the cover of one of your favorite grad school textbooks, Papadimitriou's <I>Computational Complexity</I>. The front cover had just her tangled tresses, and if you flipped the book over you were staring into her dreamy heavy-lidded eyes--which you did quite often when you'd get bored or distracted in class. You'd fantasize about lying on a pillow next to her as she explained P vs NP and the ways in which various complexity classes nested inside each other as you would drift off to sleep.""]"
43,"[""TITLE: Lynch/Oz"", ""TEXT PLACEHOLDER 044"", ""<P>"", ""This is a guilty pleasure clip show sort of documentary that has some of your favorite David Lynch moments juxtaposed with some of the more iconic moments from <I>The Wizard of Oz</I>--the Judy Garland one, at least. Family history and lore reminds you that there were more than one version made in the early days of film, many of which are lost to time."", ""<P>"", ""One of your most renowned (distant) relatives was a silent film actor, who played the Mayor of Emerald city or some similar role in one of the earlier versions of the film. Photographs of him indicate that he looked like a tamer version of Gene Wilder from <I>Young Frankenstein</I>. Your exact relation to this man is not quite known since everything on that side of your family is a bit fuzzy, but he shares your relatively rare name, and anyone with that name is very likely to be related somehow."", ""<P>"", ""This relative was supposed to have committed suicide by jumping to his death from the Hollywood sign, but this is of course a bizarre urban legend. Of course the truth is sad enough. Apparently the family was tainted by scandal when your relative's ex-wife was murdered by her son (his stepson), who had also killed a few other women. He was convicted and died in the gas chamber at San Quentin for these crimes."", ""<P>"", ""Maybe all this isn't the best thing to be known for. But hey, that's showbiz!""]"
44,"[""TITLE: Titicut Follies"", ""TEXT PLACEHOLDER 045"", ""<P>"", ""This is a documentary about a mental institution for the criminally insane, which takes its name from a talent show put on by the staff and patient-inmates. If this sounds like a joyful romp to you, then you're in for some serious disappointment! Brace yourself for the riveting \""feeding tube\"" scene--you'll definitely be squirming on the end of your seat."", ""<P>"", ""You have never been to a mental institution for the criminally insane, but you have been to grade school. Once in awhile the staff there would think it a good idea to put on a talent show for the parents and families to attend. You got picked to put on a performance of Allan Sherman's \""Hello Muddah, Hello Faddah\"", which went over decently well even though it wasn't really a Henny Youngman borscht belt humor kind of crowd. You had a few of Allan Sherman's albums on vinyl, which you sang along to regularly. Someday when you finally flip your shit and get committed, maybe you'll be docile enough for them to put you on stage for an encore performance."", ""<P>"", ""One of your friends wrote a more recent (nonfiction) book taking a look at what mental institutions for the criminally insane are like in current days, using extensive interviews and correspondence with a man who murdered his family a few decades ago and was committed for his crimes. It sounds like the worst and most brazen of the abuses depicted here shamelessly on camera have been cleaned up. Or at least they have been heavily medicated and given a hospital gown to shuffle around in for a very mild boost in dignity."", ""<P>"", ""Stay healthy. The world is a cruel place for the sick and helpless.""]"
45,"[""TITLE: The Bicycle Thief"", ""TEXT PLACEHOLDER 046"", ""<P>"", ""This is yet another film that sounds more fun than it actually is. You can imagine this as some sort of stylish French New Wave film following a ring of bicycle thieves, going around Paris stealing bikes during the day and carousing at night. Imagine a pair of con artists, played by Anna Karina and Jean-Paul Belmondo, who take turns distracting the owners of expensive bicycles with their looks and their wiles and then pedaling off with their ill-gotten goods. After being introduced to these lovable rogues with a series of vignettes and breaking-the-fourth-wall narration directly to the camera about their methodology and motivations, one of them accidentally steals something of great value in a satchel bag attached to one of the bikes. Maybe it's an expensive artwork or secret spy stuff or details on some OAS plot. For the rest of the film they're pedaling around trying to get rich and prevent some catastrophe from taking place uncovered by their ill-gotten gains."", ""<P>"", ""At least that's how you imagined it. Instead you find that this is actually a touching and depressing piece of post-war Italian neo-realism set in Rome with a father struggling to provide for his family. This is not a delightful romp, and if you watched it trying to lighten the mood after watching the similarly depressing <I>Titicut Follies</I> from Section 45 (which you initially thought was about a notorious Cramps concert at a mental hospital which you had previously seen portions of), then you are in for a serious double bummer. The dad gets his bicycle stolen right off the bat, and he and his son spend the rest of the movie trying to track it down so that he doesn't lose his crappy job putting up posters for a living. It has a shockingly sad ending for a film in which no one really dies or is seriously injured, and you're officially a monster if you walk away from this one with dry eyes.""]"
46,"[""TITLE: The Baby"", ""TEXT PLACEHOLDER 047"", ""<P>"", ""You wouldn't normally watch a film about an actual baby. But this film is about an <I>adult</I> baby, which somehow makes you want to watch it more, you sicko. <P>"", ""For better or for worse, this movie leans more into the grotesque than the depraved. There's no sexual enjoyment to be had with this adult baby. We simply have a grown man who never grew up and has been treated as a literaly goo-goo gaga baby for his entire life, pushing around toy trucks and sleeping in a crib and of course he's in diapers. Even more disturbing, his voice is dubbed over with sounds from a real baby, which is the absolute worst detail of this film."", ""<P>"", ""This is going to be a hard watch. You're going to want your teddy bear and blankie for this one, and make sure you have some eye bleach on hand for afterwards."", ""<P>"", ""Thankfully this film doesn't trigger any memories for you. You can only presume that era of your life was so traumatizing and full of things you'd prefer to forget that your brain has mercifully spared you of any memories of it. You were probably at peak cuteness then, but even the cute can be cringey at times.""]"
