this_section_number,film_title,film_director,film_year,film_running_time,text_section,choose_section,option_text_1,option_text_2,option_text_3,section_number_1,section_number_2,section_number_3,wiki_link,imdb_link,tvtropes_link
11,Fitzcarraldo,Werner Herzog,1982,158,"[""TITLE: Fitzcarraldo"", ""TEXT PLACEHOLDER 011""]",Time to choose something different:,Bet it would be easier to get that ship through the jungle if someone only had a steamroller!,At least no one drowned in those rapids. Safe boating is no accident!,"That was good but kind of long. Got anything by the same director, but maybe shorter?",48,22,106,https://en.wikipedia.org/wiki/Fitzcarraldo,https://www.imdb.com/title/tt0083946/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Fitzcarraldo
12,My Best Fiend,Werner Herzog,1999,95,"[""TITLE: My Best Fiend"", ""TEXT PLACEHOLDER 012""]",Time to choose something different:,I'd love for someone to make a Klaus Kinski biopic with some old He-Man dolls. Got anything to tide me over until that happens?,"Good lord, what bit Klaus Kinski to make him such a nutcase?",I love Kinski's energy and impulsiveness. Too bad he never channeled that into being a federal agent and catching counterfeiters!,40,9,125,https://en.wikipedia.org/wiki/My_Best_Fiend,https://www.imdb.com/title/tt0200849/,NONE
13,L'Age d'Or,Luis Buñuel,1930,60,"[""TITLE: L'Age d'Or"", ""TEXT PLACEHOLDER 013""]",Time to choose something different:,The stocking scene was weirdly hot for something this early. I'm in the mood to watch some cabaret dancers now...,"Call me a monster, but I kinda laughed at the part where the little kid got shot!","At the risk of sounding like a punk, FUCK the bourgeois virtues and outdated sexual mores of our society!",224,89,213,https://en.wikipedia.org/wiki/L%27Age_d%27Or,https://www.imdb.com/title/tt0021577/,https://tvtropes.org/pmwiki/pmwiki.php/Film/LAgeDOr
14,Un Chien Andalou,Luis Buñuel,1929,21,"[""TITLE: Un Chien Andalou"", ""TEXT PLACEHOLDER 014""]",Time to choose something different:,This movie gives me the strange urge to watch 1990s hood films and early surrealist films in an endless loop for some reason!,This had some pretty intense imagery in it. Got anything a little lighter? You know...for kids!,Too much eyeball trauma! You know who's a little easier on the eyes--Alain Delon!,130,134,174,https://en.wikipedia.org/wiki/Un_Chien_Andalou,https://www.imdb.com/title/tt0020530/,https://tvtropes.org/pmwiki/pmwiki.php/Film/UnChienAndalou
15,Enigma of Kaspar Hauser,Werner Herzog,1974,110,"[""TITLE: Enigma of Kaspar Hauser"", ""TEXT PLACEHOLDER 015""]",Time to choose something different:,The chicken hypnotizer was pretty cool. So what happens if you hypnotize actors instead of poultry?,I'm a sucker for true stories with unhappy endings. Got anything like that where the actors are a bit more...plasti?,"Based on my viewing of this film, the Great and Powerful AI Algorithm thinks I would enjoy more movies about the fragility of innocence in the face of a complex and sometimes deceptive world!",61,40,175,https://en.wikipedia.org/wiki/The_Enigma_of_Kaspar_Hauser,https://www.imdb.com/title/tt0071691/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheEnigmaOfKasparHauser
16,Nosferatu the Vampyre,Werner Herzog,1979,107,"[""TITLE: Nosferatu the Vampyre"", ""TEXT PLACEHOLDER 016""]",Time to choose something different:,"Dracula is fine, but what really scares me is babbling zombies in a snowstorm!",The count was looking pretty pale and sickly. I bet a trip to Rio would do him some good!,"I love the part where the count looks at the crucifix and tells Jesus, ""Do your early stuff!"" Oh wait, that was a different film...",233,145,25,https://en.wikipedia.org/wiki/Nosferatu_the_Vampyre,https://www.imdb.com/title/tt0079641/,https://tvtropes.org/pmwiki/pmwiki.php/Film/NosferatuTheVampyre
17,The Master,Paul Thomas Anderson,2012,138,"[""TITLE: The Master"", ""TEXT PLACEHOLDER 017""]",Time to choose something different:,Not enough strong female characters in this one. I want to see something where the women wear the pants!,Meh. Needs more strippers!,I do have a soft-spot for films that feature a pathetic man-child though...,154,189,229,https://en.wikipedia.org/wiki/The_Master_(2012_film),https://www.imdb.com/title/tt1560747/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheMaster2012
18,Nimic,Yorgos Lanthimos,2019,12,"[""TITLE: Nimic"", ""TEXT PLACEHOLDER 018""]",Time to choose something different:,I greatly prefer the sitar to the cello...,It just goes to show that sometimes two spouses are better than one!,"That was alright, but now I'm in the mood for some hot girl-on-girl scissoring action!",99,77,160,NONE,https://www.imdb.com/title/tt10651850/,NONE
19,Dottie Gets Spanked,Todd Haynes,1993,45,"[""TITLE: Dottie Gets Spanked"", ""TEXT PLACEHOLDER 019""]",Time to choose something different:,Watching kinky stuff in your formative years can certainly warp your sexuality. Speaking of which...got any horror films with lots of full frontal nudity?,Nothing takes the sting out of corporal punishment like chasing it with some THC!,That kid should have tried bringing Dottie a charlotte russe cake with whipped cream instead of his amateurish drawings if he really wanted to get her attention!,52,131,113,NONE,https://www.imdb.com/title/tt0106757/,NONE
20,Putney Swope,"Robert Downey, Sr.",1969,84,"[""TITLE: Putney Swope"", ""TEXT PLACEHOLDER 020""]",Time to choose something different:,"I know I should probably watch The Hudsucker Proxy next, but we'll put that off for awhile. Show me something with weird little dwarves instead!","Some of that jive talk was difficult for me to understand. Got anything where the characters are from somewhere people talk normal, like Boston?",Selling out is the worst thing someone can do. Stay bohemian! Fuck The Man!,245,2,4,https://en.wikipedia.org/wiki/Putney_Swope,https://www.imdb.com/title/tt0064855/,https://tvtropes.org/pmwiki/pmwiki.php/Film/PutneySwope
21,Fata Morgana,Werner Herzog,1971,79,"[""TITLE: Fata Morgana"", ""TEXT PLACEHOLDER 021""]",Time to choose something different:,Such beautiful scenery. Makes me want to watch something where people vomit parasites that turn other people into rapists!,Fata Morgana would be a great name for a soap opera character! ,A bit dry for me. Got anything in a damper setting?,139,241,11,https://en.wikipedia.org/wiki/Fata_Morgana_(1971_film),https://www.imdb.com/title/tt0067085/,NONE
22,Dementia 13,Francis Ford Coppola,1963,81,"[""TITLE: Dementia 13"", ""TEXT PLACEHOLDER 022""]",Time to choose something different:,"""Fishy fishy in the brook, Daddy caught you, now you're a hook-er!""","I feel like I should chase this with a doomed love story, but I'm going to need to ease into it with some gruesome atomic bomb aftermath footage!",Poor Billy never had a chance. I bet joining the army and some dietary changes would have cured what ailed him!,151,166,37,https://en.wikipedia.org/wiki/Dementia_13,https://www.imdb.com/title/tt0056983/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Dementia13
23,Fast Company,David Cronenberg,1979,91,"[""TITLE: Fast Company"", ""TEXT PLACEHOLDER 023""]",Time to choose something different:,"Drag racing is fun to watch, but you know what else is a drag? Wittgenstein's views about the limits of language!",Got anything with more booze/tobacco/dope/pussy/cars? Feel free to throw in some guns as well!,Those racers must keep their guardian angels pretty busy!,234,114,170,https://en.wikipedia.org/wiki/Fast_Company_(1979_film),https://www.imdb.com/title/tt0079138/,NONE
24,Carol,Todd Haynes,2015,118,"[""TITLE: Carol"", ""TEXT PLACEHOLDER 024""]",Time to choose something different:,Poor Carol. She just needed some good-looking guy like Alain Delon to sweep her off her feet.,...or maybe two good-looking guys!,...or maybe just some pudgy Russian dude with a port-wine stain on his head!,58,149,104,https://en.wikipedia.org/wiki/Carol_(film),https://www.imdb.com/title/tt2402927/,https://tvtropes.org/pmwiki/pmwiki.php/Film/Carol
25,I'm Not There,Todd Haynes,2007,135,"[""TITLE: I'm Not There"", ""TEXT PLACEHOLDER 025""]",Time to choose something different:,I think it's safe to say a lot of Dylan's cynicism came from being a product of the atomic age!,He definitely changed his demeanor and appearance over the course of his career!,"""Sleep? aint sleepin'... Sleep's for dreamers. I haven't slept in thirty days, man. Takes a lot of medicine to keep up this pace.""",166,125,246,https://en.wikipedia.org/wiki/I%27m_Not_There,https://www.imdb.com/title/tt0368794/,https://tvtropes.org/pmwiki/pmwiki.php/Film/ImNotThere
26,Bad Lieutenant: Port of Call New Orleans,Werner Herzog,2009,122,"[""TITLE: Bad Lieutenant: Port of Call New Orleans"", ""TEXT PLACEHOLDER 026""]",Time to choose something different:,A film about dirty cops is just screaming for someone to make a stage play out of it. Didn't someone do that with Serpico?,Nicolas Cage's quiet and understated performance in this makes me want to watch something by Cate Blanchett.,And the obvious Freudian aspects put me in the mood for something based on Oedipus Rex.,186,24,161,https://en.wikipedia.org/wiki/Bad_Lieutenant:_Port_of_Call_New_Orleans,https://www.imdb.com/title/tt1095217/,https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBadLieutenantPortOfCallNewOrleans
